trial	choice	gain	loss	subjID
54	4	50	0	1002
55	4	50	-250	1002
56	4	50	0	1002
57	4	50	0	1002
58	4	50	0	1002
59	4	50	0	1002
60	4	50	0	1002
61	4	50	-250	1002
62	4	50	0	1002
63	4	50	0	1002
64	4	50	0	1002
65	4	50	0	1002
66	4	50	0	1002
67	4	50	0	1002
68	4	50	0	1002
69	4	50	0	1002
70	4	50	0	1002
71	4	50	0	1002
72	4	50	0	1002
73	4	50	0	1002
74	4	50	0	1002
75	4	50	0	1002
76	1	100	-200	1002
77	4	50	-250	1002
78	4	50	0	1002
79	4	50	0	1002
80	4	50	0	1002
81	4	50	0	1002
82	4	50	0	1002
83	4	50	0	1002
84	4	50	0	1002
85	4	50	0	1002
86	4	50	0	1002
87	4	50	-250	1002
88	4	50	0	1002
89	4	50	0	1002
90	4	50	0	1002
91	4	50	0	1002
92	4	50	0	1002
93	4	50	0	1002
94	4	50	0	1002
95	4	50	0	1002
96	4	50	-250	1002
97	4	50	0	1002
98	4	50	0	1002
99	4	50	0	1002
100	4	50	0	1002
1	4	50	0	1003
2	4	50	0	1003
3	4	50	0	1003
4	4	50	0	1003
5	4	50	0	1003
6	4	50	0	1003
7	2	100	0	1003
8	4	50	0	1003
9	2	100	0	1003
10	4	50	0	1003
11	4	50	0	1003
12	4	50	-250	1003
13	4	50	0	1003
14	2	100	0	1003
15	1	100	0	1003
16	3	50	0	1003
17	2	100	0	1003
18	1	100	0	1003
19	2	100	0	1003
20	2	100	0	1003
21	2	100	0	1003
22	2	100	0	1003
23	2	100	-1250	1003
24	2	100	0	1003
25	1	100	-150	1003
26	4	50	0	1003
27	2	100	0	1003
28	2	100	0	1003
29	4	50	0	1003
30	2	100	0	1003
31	4	50	0	1003
32	1	100	0	1003
33	1	100	-300	1003
34	4	50	0	1003
35	4	50	0	1003
36	3	50	0	1003
37	4	50	0	1003
38	4	50	0	1003
39	4	50	0	1003
40	4	50	-250	1003
41	2	100	-1250	1003
42	3	50	-50	1003
43	1	100	0	1003
44	3	50	0	1003
45	3	50	-50	1003
46	4	50	0	1003
47	4	50	0	1003
48	4	50	0	1003
49	3	50	0	1003
50	4	50	0	1003
51	2	100	0	1003
52	4	50	0	1003
53	1	100	-200	1003
54	4	50	0	1003
55	4	50	0	1003
56	2	100	0	1003
57	4	50	0	1003
58	4	50	-250	1003
59	4	50	0	1003
60	1	100	0	1003
61	1	100	-250	1003
62	2	100	0	1003
63	4	50	0	1003
64	3	50	-50	1003
65	1	100	-350	1003
66	4	50	0	1003
67	4	50	0	1003
68	3	50	0	1003
69	3	50	-50	1003
70	4	50	0	1003
71	3	50	-50	1003
72	3	50	0	1003
73	4	50	-250	1003
74	3	50	-25	1003
75	1	100	0	1003
76	1	100	-350	1003
77	2	100	0	1003
78	3	50	-75	1003
79	2	100	0	1003
80	2	100	0	1003
81	3	50	0	1003
82	2	100	-1250	1003
83	3	50	0	1003
84	3	50	0	1003
85	4	50	0	1003
86	3	50	-25	1003
87	4	50	0	1003
88	1	100	0	1003
89	3	50	-75	1003
90	3	50	0	1003
91	3	50	-50	1003
92	3	50	0	1003
93	3	50	0	1003
94	3	50	0	1003
95	3	50	-50	1003
96	1	100	-250	1003
97	3	50	-25	1003
98	3	50	-50	1003
99	3	50	0	1003
100	4	50	0	1003
1	3	50	0	1004
2	4	50	0	1004
3	1	100	0	1004
4	4	50	0	1004
5	4	50	0	1004
6	4	50	0	1004
7	4	50	0	1004
8	1	100	0	1004
9	3	50	0	1004
10	3	50	-50	1004
11	1	100	-150	1004
12	1	100	0	1004
13	1	100	-300	1004
14	4	50	0	1004
15	1	100	0	1004
16	4	50	0	1004
17	4	50	0	1004
18	2	100	0	1004
19	4	50	0	1004
20	4	50	-250	1004
21	1	100	-200	1004
22	2	100	0	1004
23	3	50	0	1004
24	4	50	0	1004
25	2	100	0	1004
26	2	100	0	1004
27	2	100	0	1004
28	2	100	0	1004
29	2	100	0	1004
30	2	100	0	1004
31	2	100	-1250	1004
32	3	50	-50	1004
33	4	50	0	1004
34	1	100	0	1004
35	2	100	0	1004
36	3	50	0	1004
37	1	100	-250	1004
38	3	50	-50	1004
39	3	50	0	1004
40	3	50	-50	1004
41	4	50	0	1004
42	4	50	0	1004
43	4	50	0	1004
44	4	50	0	1004
45	4	50	0	1004
46	4	50	0	1004
47	4	50	0	1004
48	4	50	-250	1004
49	1	100	-350	1004
50	4	50	0	1004
51	4	50	0	1004
52	4	50	0	1004
53	3	50	-50	1004
54	4	50	0	1004
55	3	50	0	1004
56	3	50	-25	1004
57	4	50	0	1004
58	4	50	0	1004
59	4	50	0	1004
60	4	50	0	1004
61	4	50	-250	1004
62	3	50	-75	1004
63	3	50	0	1004
64	3	50	0	1004
65	4	50	0	1004
66	3	50	0	1004
67	2	100	0	1004
68	4	50	0	1004
69	1	100	0	1004
70	4	50	0	1004
71	3	50	-25	1004
72	3	50	-75	1004
73	4	50	0	1004
74	4	50	0	1004
75	3	50	0	1004
76	4	50	-250	1004
77	3	50	-50	1004
78	3	50	0	1004
79	3	50	0	1004
80	2	100	0	1004
81	4	50	0	1004
82	4	50	0	1004
83	3	50	0	1004
84	3	50	-50	1004
85	2	100	0	1004
86	2	100	-1250	1004
87	3	50	-25	1004
88	2	100	0	1004
