gain	loss	cert	gamble	outcome	cond	subjID
5	-5	0	1	-5	1	5
5	-9.38	0	0	0	1	5
10	-12.5	0	0	0	1	5
10	-18.75	0	0	0	1	5
5	-2.5	0	1	-2.5	1	5
9	-14.63	0	0	0	1	5
28	0	13	0	13	1	5
5	-6.88	0	0	0	1	5
4	-3.5	0	1	-3.5	1	5
12	-16.5	0	0	0	1	5
5	-8.13	0	0	0	1	5
9	-16.88	0	0	0	1	5
9	-3.38	0	1	-3.38	1	5
12	0	5	1	0	1	5
4	-8	0	0	0	1	5
8	-12	0	1	8	1	5
8	-4	0	1	-4	1	5
2	-4	0	0	0	1	5
12	-9	0	1	-9	1	5
4	-1.5	0	1	4	1	5
6	-10.5	0	0	0	1	5
5	-3.13	0	1	5	1	5
10	-15	0	0	0	1	5
23	0	10	0	10	1	5
12	-7.5	0	1	-7.5	1	5
2	-0.5	0	1	-0.5	1	5
4	0	2	0	2	1	5
6	-1.5	0	1	-1.5	1	5
4	-1	0	1	4	1	5
10	-20	0	0	0	1	5
12	-22.5	0	0	0	1	5
25	0	9	0	9	1	5
13	0	5	1	13	1	5
6	-5.25	0	0	0	1	5
9	-13.5	0	0	0	1	5
5	0	2	0	2	1	5
12	-6	0	1	-6	1	5
5	-6.25	0	1	5	1	5
10	-3.75	0	1	10	1	5
9	-7.88	0	0	0	1	5
8	-6	0	1	-6	1	5
4	-5.5	0	0	0	1	5
19	0	8	0	8	1	5
10	-7.5	0	1	-7.5	1	5
4	-6	0	0	0	1	5
8	-14	0	0	0	1	5
8	0	3	0	3	1	5
12	-21	0	0	0	1	5
4	-2	0	1	-2	1	5
4	-5	0	0	0	1	5
6	-7.5	0	1	-7.5	1	5
12	-12	0	1	-12	1	5
8	-5	0	1	-5	1	5
26	0	12	0	12	1	5
8	-10	0	0	0	1	5
5	-5.63	0	0	0	1	5
2	-1	0	1	2	1	6
9	-6.75	0	1	-6.75	1	6
2	-4	0	0	0	1	6
2	-3.25	0	1	2	1	6
4	-6.5	0	0	0	1	6
5	-5.63	0	1	-5.63	1	6
8	-8	0	1	-8	1	6
12	-18	0	0	0	1	6
2	-2.5	0	1	2	1	6
3	0	1	1	3	1	6
12	-16.5	0	1	12	1	6
10	-12.5	0	1	-12.5	1	6
5	-1.25	0	1	5	1	6
19	0	8	1	19	1	6
8	-9	0	1	-9	1	6
5	-10	0	0	0	1	6
25	0	10	1	25	1	6
7	0	3	1	0	1	6
6	-11.25	0	1	6	1	6
6	-1.5	0	1	-1.5	1	6
4	-1.5	0	1	4	1	6
10	-5	0	1	10	1	6
10	-3.75	0	1	10	1	6
6	-4.5	0	1	-4.5	1	6
12	-19.5	0	1	12	1	6
5	-4.38	0	1	-4.38	1	6
8	-11	0	0	0	1	6
2	-0.75	0	1	2	1	6
2	-1.5	0	1	-1.5	1	6
6	-6.75	0	1	6	1	6
4	-6	0	1	4	1	6
10	-16.25	0	1	-16.25	1	6
12	-15	0	1	-15	1	6
6	-5.25	0	1	6	1	6
12	-21	0	0	0	1	6
4	-3	0	1	4	1	6
12	-22.5	0	0	0	1	6
2	-3.75	0	1	-3.75	1	6
6	-12	0	1	-12	1	6
5	-8.13	0	1	5	1	6
10	-8.75	0	1	-8.75	1	6
12	-6	0	1	-6	1	6
5	-5	0	1	-5	1	6
22	0	10	0	10	1	6
12	-13.5	0	0	0	1	6
8	-7	0	1	8	1	6
4	-3.5	0	1	-3.5	1	6
9	-12.38	0	1	9	1	6
10	-7.5	0	1	-7.5	1	6
26	0	10	1	26	1	6
12	-4.5	0	1	-4.5	1	6
8	-15	0	1	-15	1	6
2	-1.75	0	1	2	1	6
12	0	6	1	0	1	6
9	-3.38	0	1	-3.38	1	6
2	-3	0	1	-3	1	6
9	-5.63	0	1	-5.63	1	6
2	-3.5	0	1	-3.5	1	6
8	-12	0	0	0	1	6
10	-18.75	0	0	0	1	6
4	0	2	1	4	1	6
2	-2.25	0	1	2	1	6
9	-2.25	0	1	-2.25	1	6
10	-13.75	0	0	0	1	6
28	0	13	0	13	1	6
4	-2.5	0	1	4	1	6
9	-15.75	0	0	0	1	6
10	-15	0	1	10	1	6
10	-10	0	1	10	1	6
9	-18	0	0	0	1	6
12	-24	0	0	0	1	6
13	0	5	1	13	1	6
5	-1.88	0	1	-1.88	1	6
4	-4.5	0	1	4	1	6
9	-7.88	0	1	9	1	6
9	-9	0	1	9	1	6
25	0	9	1	0	1	6
12	-12	0	1	-12	1	6
6	-2.25	0	1	6	1	6
8	-5	0	1	-5	1	6
4	-5.5	0	1	-5.5	1	6
2	-1.25	0	1	-1.25	1	6
9	-13.5	0	0	0	1	6
9	-4.5	0	1	9	1	6
10	-11.25	0	1	10	1	6
6	-3	0	1	-3	1	6
10	-2.5	0	1	-2.5	1	6
12	0	4	1	12	1	6
10	-20	0	0	0	1	6
5	-3.75	0	1	5	1	6
9	-10.13	0	1	-10.13	1	6
4	-7	0	0	0	1	6
12	-10.5	0	1	-10.5	1	6
8	-16	0	0	0	1	6
4	-7.5	0	1	4	1	6
8	0	3	1	8	1	6
6	-10.5	0	0	0	1	6
6	-9.75	0	1	-9.75	1	6
5	-8.75	0	0	0	1	6
5	-2.5	0	1	-2.5	1	6
13	0	6	1	0	1	6
23	0	10	1	0	1	6
8	-4	0	1	-4	1	6
9	-11.25	0	1	9	1	6
5	-6.88	0	1	-6.88	1	6
4	-4	0	1	4	1	6
10	-17.5	0	0	0	1	6
26	0	12	0	12	1	6
6	-8.25	0	1	-8.25	1	6
9	-14.63	0	1	9	1	6
8	-2	0	1	-2	1	6
10	-6.25	0	1	-6.25	1	6
8	-14	0	1	8	1	6
12	0	5	0	5	1	6
8	-10	0	1	-10	1	6
30	0	12	1	0	1	6
5	-7.5	0	1	5	1	6
5	0	2	1	0	1	6
6	-3.75	0	1	6	1	6
6	-6	0	1	-6	1	6
4	-2	0	1	-2	1	6
12	-7.5	0	1	-7.5	1	6
5	-6.25	0	0	0	1	6
4	-5	0	1	4	1	6
2	-2.75	0	1	-2.75	1	6
2	-2	0	1	2	1	6
6	-9	0	1	-9	1	6
5	-3.13	0	1	5	1	6
12	-9	0	1	-9	1	6
4	-8	0	1	-8	1	6
4	-1	0	1	4	1	6
2	0	1	1	2	1	6
9	-16.88	0	0	0	1	6
8	-6	0	1	-6	1	6
2	-0.5	0	1	-0.5	1	6
