subjID	trial	delay_later	amount_later	delay_sooner	amount_sooner	choice
4	23	85	30.9	0	10	1
4	24	15	18.6	0	10	1
4	25	28	13.4	0	10	1
4	26	170	15	0	10	1
4	27	170	41.3	0	10	1
4	28	85	27.3	0	10	0
4	29	1	11.8	0	10	0
4	30	85	24.4	0	10	1
4	31	15	49	0	10	1
4	32	6	17.4	0	10	1
4	33	6	35.1	0	10	1
4	34	170	15	0	10	0
4	35	6	26.3	0	10	1
4	36	170	35.6	0	10	0
4	37	6	13.2	0	10	1
4	38	28	15.5	0	10	1
4	39	1	11	0	10	1
4	40	15	12.5	0	10	1
4	41	6	13.2	0	10	0
4	42	1	10.7	0	10	1
4	43	6	17.4	0	10	1
4	44	85	10.5	0	10	0
4	45	28	13.4	0	10	1
4	46	1	41.9	0	10	1
4	47	28	13	0	10	1
4	48	28	16.9	0	10	0
4	49	85	36.1	0	10	1
4	50	15	18.6	0	10	1
4	51	85	27.3	0	10	1
4	52	15	49	0	10	1
4	53	15	30.1	0	10	1
4	54	170	29.7	0	10	1
4	55	6	14	0	10	1
4	56	28	41.1	0	10	1
4	57	15	30.1	0	10	1
4	58	15	12.5	0	10	1
4	59	85	30.9	0	10	1
4	60	28	21.1	0	10	1
4	61	6	44	0	10	1
4	62	28	16.9	0	10	1
4	63	6	11	0	10	0
4	64	170	38.3	0	10	1
4	65	85	18.4	0	10	1
4	66	85	19.5	0	10	1
4	67	170	33.9	0	10	0
4	68	170	35.6	0	10	1
4	69	15	14.2	0	10	1
4	70	28	13	0	10	0
4	71	28	31.4	0	10	1
4	72	1	11.8	0	10	0
4	73	1	12.5	0	10	0
4	74	28	31.4	0	10	1
4	75	1	12.5	0	10	1
4	76	28	41.1	0	10	1
4	77	1	10.7	0	10	1
4	78	170	24.4	0	10	1
4	79	6	16.7	0	10	1
4	80	170	24.4	0	10	1
4	81	6	35.1	0	10	1
4	82	1	11	0	10	0
4	83	28	12	0	10	0
4	84	15	10.5	0	10	0
4	85	15	10.7	0	10	0
4	86	28	12	0	10	1
4	87	85	19.5	0	10	1
4	88	6	16.7	0	10	1
4	89	6	11	0	10	0
4	90	15	39.6	0	10	1
4	91	85	24.4	0	10	0
4	92	6	26.3	0	10	1
4	93	85	18.4	0	10	1
4	94	15	14.2	0	10	0
4	95	6	10.5	0	10	0
4	96	1	41.9	0	10	1
4	97	85	36.1	0	10	1
4	98	85	26	0	10	1
4	99	28	15.5	0	10	0
4	100	1	31.6	0	10	1
4	101	6	44	0	10	1
4	102	85	26	0	10	1
4	103	170	29.7	0	10	1
4	104	170	43.3	0	10	1
4	105	170	49.8	0	10	1
4	106	85	10.5	0	10	0
4	107	1	18	0	10	1
4	108	15	10.7	0	10	1
5	1	170	41.3	0	10	1
5	2	85	18.4	0	10	1
5	3	28	21.7	0	10	1
5	4	85	10.5	0	10	0
5	5	15	14.2	0	10	1
5	6	28	21.7	0	10	1
5	7	85	30.9	0	10	1
5	8	85	26	0	10	1
5	9	1	10.7	0	10	1
5	10	28	13	0	10	0
5	11	170	33.9	0	10	1
5	12	85	36.1	0	10	0
5	13	15	30.1	0	10	1
5	14	1	31.6	0	10	1
