subjID	trial_number	RT	prob	reward_var	reward_fix	outcome	types	ambig	choice
3	31	1449	0.25	182	50	0	low	0	1
3	32	1497	0.5	342	50	0	ambiguous	0.25	1
3	33	1430	0.25	183	50	0	low	0	1
3	34	1514	0.375	92	50	0	low	0	0
3	35	992	0.5	653	50	0	ambiguous	0.25	1
3	36	1920	0.5	343	50	0	ambiguous	0.5	1
3	37	1612	0.5	653	50	653	ambiguous	0.5	1
3	38	1224	0.5	341	50	0	ambiguous	0.5	1
3	39	549	0.375	342	50	342	low	0	1
3	40	617	0.5	94	50	0	ambiguous	0.5	0
3	41	1139	0.125	341	50	341	low	0	1
3	42	1991	0.375	50	50	50	low	0	1
3	43	1678	0.125	94	50	0	low	0	0
3	44	1776	0.375	94	50	50	low	0	0
3	45	1733	0.125	183	50	0	low	0	1
3	46	1216	0.25	343	50	0	low	0	1
3	47	1125	0.375	182	50	0	low	0	1
3	48	1618	0.125	342	50	0	low	0	1
3	49	1828	0.375	51	50	50	low	0	0
3	50	1781	0.25	646	50	0	low	0	1
3	51	553	0.375	183	50	0	low	0	1
3	52	899	0.5	183	50	183	ambiguous	0.75	1
3	53	388	0.125	47	50	50	low	0	0
3	54	615	0.5	47	50	0	ambiguous	0.75	0
3	55	594	0.375	343	50	0	low	0	1
3	56	346	0.25	47	50	0	low	0	0
3	57	1069	0.125	343	50	0	low	0	1
3	58	894	0.5	51	50	50	ambiguous	0.25	0
3	59	576	0.5	646	50	0	ambiguous	0.75	1
3	60	592	0.125	182	50	0	low	0	1
3	61	1508	0.5	92	50	0	ambiguous	0.5	0
3	62	383	0.375	646	50	646	low	0	1
3	63	428	0.5	51	50	50	ambiguous	0.5	0
3	64	432	0.125	51	50	50	low	0	0
3	65	454	0.375	47	50	0	low	0	0
3	66	926	0.5	92	50	0	ambiguous	0.25	0
3	67	346	0.375	341	50	341	low	0	1
3	68	355	0.5	51	50	0	ambiguous	0.75	0
3	69	879	0.25	94	50	50	low	0	0
3	70	827	0.125	92	50	0	low	0	0
3	71	437	0.5	182	50	182	ambiguous	0.5	1
3	72	432	0.5	47	50	0	ambiguous	0.25	0
3	73	411	0.5	341	50	0	ambiguous	0.75	0
3	74	1125	0.375	183	50	183	low	0	1
3	75	422	0.125	646	50	0	low	0	1
3	76	290	0.5	47	50	50	ambiguous	0.5	0
3	77	366	0.25	94	50	0	low	0	0
3	78	360	0.25	653	50	0	low	0	1
3	79	396	0.375	653	50	653	low	0	1
3	80	408	0.125	94	50	0	low	0	0
3	81	442	0.5	183	50	0	ambiguous	0.5	1
3	82	419	0.25	92	50	50	low	0	0
3	83	1415	0.5	50	50	0	ambiguous	0.25	0
3	84	1163	0.5	182	50	50	ambiguous	0.75	0
